airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,13250
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,14388
Indigo,2019-03-27,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Indigo,2019-03-09,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Air Asia,2019-05-09,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-06-24,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Air India,2019-03-06,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,13912
Indigo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Spicejet,2019-06-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Spicejet,2019-05-12,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10577
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Spicejet,2019-05-09,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6171
Multiple Carriers,2019-06-15,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7408
Jet Airways,2019-06-12,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-06-09,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4050
Vistara,2019-05-09,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-05-01,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,7229
Vistara,2019-05-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8907
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,13941
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7754
Air Asia,2019-05-18,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-05-09,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11507
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No Info,11098
Indigo,2019-06-27,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5684
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air India,2019-05-24,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:20:00,880,2.0,No Info,6494
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8085
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,36235
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,In-flight meal not included,6943
Jet Airways,2019-05-15,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,14676
Multiple Carriers,2019-06-12,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Air India,2019-03-06,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,10566
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,15544
Indigo,2019-05-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,14388
Multiple Carriers,2019-05-21,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Jet Airways,2019-03-03,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No Info,20747
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Air India,2019-06-09,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Air India,2019-04-06,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,In-flight meal not included,7308
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12373
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Jet Airways,2019-06-01,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Indigo,2019-04-06,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5073
Indigo,2019-04-21,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4227
Indigo,2019-05-12,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3603
Air India,2019-03-01,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,11528
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7074
Indigo,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6794
Air India,2019-03-15,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No Info,8714
Air India,2019-03-01,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,1 Long layover,14594
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,16:20:00,1235,1.0,In-flight meal not included,10031
Indigo,2019-03-03,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,13790
Indigo,2019-06-27,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Spicejet,2019-06-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,13626
Air India,2019-06-09,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7662
Multiple Carriers,2019-06-27,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-12,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Air India,2019-05-24,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12802
Air India,2019-03-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,15704
Multiple Carriers,2019-06-12,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No Info,7205
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14571
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,10786
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Spicejet,2019-05-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,10261
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Jet Airways,2019-04-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,10909
Air India,2019-05-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Spicejet,2019-03-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,8488
Air Asia,2019-05-21,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,5192
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,14714
Indigo,2019-03-21,Delhi,Cochin,07:20:00,12:30:00,310,1.0,No Info,6388
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,10703
Vistara,2019-06-06,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Air India,2019-06-06,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-05-21,Delhi,Cochin,16:10:00,00:55:00,525,1.0,No Info,6778
Multiple Carriers,2019-06-15,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Air India,2019-06-06,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No Info,8366
Jet Airways,2019-04-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,13838
Indigo,2019-04-01,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Air India,2019-04-15,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6121
Air India,2019-06-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,12723
Indigo,2019-06-24,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9165
Spicejet,2019-06-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-05-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Air India,2019-06-24,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,9397
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Goair,2019-06-15,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,9424
Indigo,2019-05-27,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6526
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,In-flight meal not included,10196
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Jet Airways,2019-06-24,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Air India,2019-03-21,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No Info,15894
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,18804
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Indigo,2019-03-18,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,4462
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Air Asia,2019-04-15,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Indigo,2019-03-03,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,5755
Air India,2019-03-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,7817
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,5264
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Jet Airways,2019-03-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No Info,13882
Air India,2019-03-03,Banglore,New Delhi,05:50:00,12:55:00,425,1.0,No Info,12389
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Spicejet,2019-05-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-04-15,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,18:50:00,710,1.0,No Info,12402
Air India,2019-03-09,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,15586
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,13843
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,12898
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,11841
Air India,2019-05-21,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11911
Air India,2019-03-15,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No Info,8714
Air India,2019-05-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,14424
Spicejet,2019-05-18,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Air India,2019-05-18,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Air India,2019-06-01,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8052
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No Info,12284
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,18:10:00,1515,1.0,No Info,14231
Jet Airways,2019-06-03,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air India,2019-03-01,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,25913
Goair,2019-06-24,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Air Asia,2019-03-21,Delhi,Cochin,16:45:00,22:15:00,330,1.0,No Info,6151
Indigo,2019-04-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air Asia,2019-05-03,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Air India,2019-05-01,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-06-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,5201
Indigo,2019-06-01,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-03-06,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,12677
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,13:15:00,1100,1.0,No Info,13817
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Multiple Carriers,2019-03-03,Delhi,Cochin,02:15:00,11:30:00,555,1.0,No Info,17057
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-12,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No Info,6795
Spicejet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,11789
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:05:00,1815,2.0,No Info,7664
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
Indigo,2019-05-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-03,Delhi,Cochin,12:50:00,01:35:00,765,1.0,No Info,18192
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,610,1.0,No Info,15147
Indigo,2019-06-01,Chennai,Kolkata,15:40:00,18:25:00,165,0.0,No Info,3540
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,3205
Air India,2019-05-15,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Spicejet,2019-06-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-15,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-03-18,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4462
Jet Airways,2019-03-09,Banglore,New Delhi,18:40:00,00:45:00,365,1.0,No Info,22270
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,No Info,14571
Indigo,2019-06-18,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3419
Indigo,2019-05-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,8854
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-05-09,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Air India,2019-06-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12373
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Indigo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Indigo,2019-04-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6937
Indigo,2019-06-27,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Indigo,2019-04-09,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Air India,2019-03-03,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,10810
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,2175
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,23:25:00,1660,1.0,No Info,13759
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Indigo,2019-03-03,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No Info,6860
Air India,2019-05-21,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9653
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,10929
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7740
Indigo,2019-06-06,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3943
Indigo,2019-05-18,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
